phase,block,sample_end,samples,p50_ms,p95_ms,p99_ms,p999_ms,max_ms,over_1ms,over_5ms,elapsed_seconds,heap_bytes,rss_bytes,gen2,block_gen2,block_lifecycle_cpu_ms,block_wall_ms
B,83,8300,100,0.20678,0.22851,0.242939,0.247436,0.247436,0,0,4.1895933,4421376,63696896,262,3,64.191,34.02120000000064
B,84,8400,100,0.20712,0.227729,0.229372,0.231214,0.231214,0,0,4.2235929,5456520,63696896,265,3,65.061,33.999599999999575
B,85,8500,100,0.180101,0.210965,0.225634,0.229384,0.229384,0,0,4.2561031,6464840,63696896,268,3,52.905,32.510199999999934
B,86,8600,100,0.179681,0.198212,0.200346,0.204557,0.204557,0,0,4.2884477,7488424,63696896,271,3,51.559,32.34460000000006
B,87,8700,100,0.17949,0.199323,0.202493,0.208481,0.208481,0,0,4.3210803,8513944,63696896,274,3,51.876,32.632600000000345
B,88,8800,100,0.180308,0.20073,0.206371,0.207162,0.207162,0,0,4.3543467,1362016,63696896,278,4,52.631,33.266399999999585
B,89,8900,100,0.17917,0.198603,0.205218,0.207803,0.207803,0,0,4.3867365,2379328,63696896,281,3,51.39,32.3897999999998
B,90,9000,100,0.179195,0.196412,0.198863,0.204263,0.204263,0,0,4.4189584,3396768,63696896,284,3,51.224,32.22190000000058
B,91,9100,100,0.178905,0.197474,0.203616,0.204353,0.204353,0,0,4.4512865,4422448,63696896,287,3,51.53,32.32809999999997
B,92,9200,100,0.179356,0.19718,0.200426,0.208991,0.208991,0,0,4.4835974,5447984,63696896,290,3,51.518,32.3108999999997
B,93,9300,100,0.179286,0.197914,0.199885,0.2005,0.2005,0,0,4.5159636,6465408,63696896,293,3,51.554,32.366200000000234
B,94,9400,100,0.179206,0.19733,0.202944,0.203886,0.203886,0,0,4.5482583,7493800,63696896,296,3,51.499,32.294699999999565
B,95,9500,100,0.17906,0.198984,0.20275,0.211045,0.211045,0,0,4.5805775,8514584,63696896,299,3,51.546,32.31920000000077
B,96,9600,100,0.179326,0.19714,0.198413,0.204226,0.204226,0,0,4.6132963,1362592,63696896,303,4,51.922,32.718799999999604
B,97,9700,100,0.178645,0.197444,0.198606,0.203065,0.203065,0,0,4.6455387,2380000,63696896,306,3,51.353,32.24240000000034
